iter	Passed	Remaining
0	81	73450
1	165	74413
2	268	80273
3	356	79775
4	446	79866
5	532	79303
6	613	78237
7	694	77411
8	780	77222
9	861	76702
10	946	76492
11	1023	75717
12	1114	76035
13	1203	76147
14	1289	76082
15	1366	75504
16	1442	74937
17	1522	74616
18	1607	74517
19	1667	73355
20	1731	72493
21	1799	71828
22	1880	71702
23	1962	71622
24	2026	70926
25	2109	70913
26	2196	71033
27	2272	70784
28	2354	70730
29	2440	70762
30	2521	70683
31	2602	70589
32	2681	70453
33	2769	70550
34	2858	70654
35	2945	70690
36	3026	70580
37	3100	70339
38	3185	70324
39	3267	70259
40	3351	70222
41	3430	70085
42	3510	69970
43	3593	69901
44	3679	69902
45	3764	69885
46	3849	69870
47	3946	70056
48	4031	70024
49	4131	70241
50	4229	70412
51	4331	70635
52	4424	70715
53	4505	70590
54	4583	70423
55	4664	70298
56	4756	70342
57	4850	70422
58	4953	70613
59	5066	70925
60	5161	70994
61	5262	71128
62	5362	71241
63	5468	71432
64	5565	71499
65	5654	71457
66	5751	71512
67	5848	71556
68	5933	71457
69	6027	71471
70	6120	71463
71	6217	71496
72	6312	71507
73	6416	71616
74	6499	71494
75	6600	71564
76	6696	71579
77	6802	71687
78	6893	71638
79	6996	71711
80	7085	71646
81	7181	71635
82	7281	71673
83	7354	71445
84	7459	71519
85	7562	71581
86	7675	71722
87	7761	71615
88	7873	71743
89	7955	71603
90	8057	71632
91	8150	71583
92	8245	71546
93	8329	71423
94	8429	71425
95	8519	71347
96	8615	71323
97	8724	71399
98	8823	71392
99	8954	71639
100	9061	71683
101	9159	71660
102	9262	71668
103	9362	71660
104	9468	71688
105	9563	71633
106	9638	71433
107	9747	71484
108	9835	71376
109	9929	71309
110	10029	71293
111	10123	71227
112	10228	71240
113	10318	71144
114	10410	71064
115	10500	70971
116	10584	70835
117	10663	70667
118	10745	70520
119	10807	70249
120	10899	70169
121	10989	70079
122	11075	69961
123	11159	69837
124	11233	69647
125	11316	69513
126	11351	69092
127	11439	68994
128	11517	68836
129	11595	68678
130	11683	68583
131	11766	68457
132	11854	68363
133	11936	68234
134	12023	68135
135	12059	67745
136	12151	67673
137	12236	67567
138	12265	67153
139	12338	66981
140	12428	66902
141	12519	66829
142	12613	66771
143	12698	66666
144	12783	66560
145	12844	66332
146	12935	66262
147	13031	66214
148	13126	66160
149	13160	65803
150	13242	65683
151	13313	65518
152	13403	65438
153	13482	65309
154	13567	65211
155	13643	65071
156	13669	64691
157	13761	64626
158	13787	64256
159	13881	64202
160	13956	64063
161	14043	63975
162	14125	63868
163	14208	63766
164	14237	63423
165	14320	63322
166	14428	63329
167	14500	63179
168	14593	63123
169	14630	62825
170	14723	62770
171	14807	62675
172	14859	62446
173	14872	62054
174	14952	61947
175	15034	61847
176	15114	61738
177	15190	61614
178	15270	61506
179	15353	61413
180	15436	61318
181	15535	61288
182	15618	61194
183	15702	61103
184	15787	61017
185	15871	60926
186	15954	60832
187	16037	60735
188	16127	60669
189	16211	60578
190	16292	60479
191	16370	60365
